2024-04-07 18:00:52,266 - Receive: 143, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:52,267 - Receive: 144, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:52,268 - Receive: 145, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:52,269 - Receive: 146, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:52,270 - Receive: 147, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:52,270 - Receive: 148, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:52,271 - Receive: 149, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:52,271 - Receive: 150, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:52,272 - Receive: 151, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:52,273 - Receive: 152, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:52,274 - Receive: 153, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:52,275 - Receive: 154, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:52,275 - Receive: 155, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:52,276 - Receive: 156, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:52,276 - Receive: 157, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:54,291 - Receive: 158, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:54,293 - Receive: 159, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:54,295 - Receive: 160, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:54,297 - Receive: 161, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:56,309 - Receive: 162, pdu_exp=5, pdu_recv=22, status=DataErr
2024-04-07 18:00:56,310 - Receive: 163, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:56,313 - Receive: 164, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:56,314 - Receive: 165, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:56,316 - Receive: 166, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:56,318 - Receive: 167, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:56,319 - Receive: 168, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:56,319 - Receive: 169, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:56,320 - Receive: 170, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:56,320 - Receive: 171, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:56,321 - Receive: 172, pdu_exp=5, pdu_recv=24, status=DataErr
2024-04-07 18:00:56,321 - Receive: 173, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:56,322 - Receive: 174, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:56,322 - Receive: 175, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:56,323 - Receive: 176, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:56,324 - Receive: 177, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:56,325 - Receive: 178, pdu_exp=5, pdu_recv=21, status=DataErr
2024-04-07 18:00:56,326 - Receive: 179, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:58,340 - Receive: 180, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:58,341 - Receive: 181, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:58,343 - Receive: 182, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:58,345 - Receive: 183, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:01:00,353 - Receive: 184, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:01:00,355 - Receive: 185, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:01:00,357 - Receive: 186, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:01:00,358 - Receive: 187, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:01:00,360 - Receive: 188, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:01:00,361 - Receive: 189, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:01:00,362 - Receive: 190, pdu_exp=5, pdu_recv=21, status=NoErr
